checkpoint,clause,review
The Financial Closing Date shall have occurred before the Commencement Date,"8.1 Commencement of Works
The Employer may issue the Notice to Proceed at any time and the Commencement Date shall occur on the date on which the last of the following conditions has been fulfilled (or waived or deferred (with or without conditions) by the Employer in the case of sub-clause (a) and (b) below, or waived or deferred (with or without conditions) by the Contractor in case of sub-clause (c), (d) and (e) below), as notified by the Employer:
(a) Financial Closing (as defined in the Implementation Agreement) has occurred in terms of the Implementation Agreement (as may be confirmed by a letter issued by the relevant authority) and as confirmed by the Employer to the Contractor;
(b) the Performance Bond and the Advance Payment Guarantee have been provided by the Contractor in accordance with Clause 4.3(b) and are in full force and effect;
(c) the Advance Payment has been received by the Contractor in accordance with Clause 14.2(b);
(d) the Employer has granted the Contractor right of access to Site and possession of the Site for the performance of the whole of the Works where the same is needed for execution of the Contract; and
(e) the insurance policies that are required to be obtained by the Employer under Schedule 7 (Insurance), have been procured and are effective.
Notwithstanding the above, Each party shall use its best efforts to fulfill the above conditions for which it is responsible as soon as practicable. If the conditions detailed in this Sub-Clause are not fulfilled within six (6) months from the date of signing of the Contract, both Parties shall renegotiate and reach a new agreement on the Contract Price and the Time for Completion and/or other relevant conditions. Failure by the Parties to reach an agreement as aforesaid, then either Party may terminate this Contract by giving a fifteen (15) days’ notice to the other Party, in which event, the Employer shall return to the Contractor the securities the latter provided to it (if any), pursuant to which the Parties shall be released from their respective responsibilities and obligations to the other Party under the Contract.
The Contract shall become invalid before the Commencement Date only if (i) the conditions  as mentioned in sub-clause 8.1 (a) above are not fulfilled; and (ii) due to prolonged delay of commencement date, a new agreement on the Contract Price and the Time for Completion and/or other relevant conditions have not been agreed between Parties during a specified time; and (iii) a written termination agreement, introduced by either Party, has been signed by both Parties.","The specific condition contradicts the checkpoint. According to 8.1 commencement of works ""in the case of sub-clause (a) below can be waived or deferred (with or without conditions) by the Employer"" , which stipulates Financial Closing shall occur before the Commencement Date. Thus, it can infer that the requirement that Financial Closing shall occur before the Commencement Date could be waived by the Employer. As a result, it can not surely confirm that the Financial Closing Date will be occurred before the Commencement Date."
The Financial Closing Date shall have occurred before the Commencement Date,"7. Notice to Proceed 
The Project Company shall issue the notice to proceed (NTP)  to the EPC Contractor on or after the Scheduled Closing Date (as set out in the Project Implementation Schedule) upon satisfaction of conditions precedent, including: the EPC Contractor has obtained all Permits it is required to obtain for the commencement of the Works and has provided the Project Company with all necessary information required by the Project Company to apply for the Permits required by the Project Company for the commencement of the Works and the Project Company has obtained the statutory clearances (like Environment Permit etc.) and provided all the necessary Permits, Licenses, Approvals ensuring the that the Access to Site and Possession of the Site is available to the EPC Contractor as required for commencement of Works; the EPC Contractor has delivered to the Project Company the Advance Payment Bond; [the Project Company has executed the financing documents for the financing of the Project and in that respect the first drawdown has been completed and the documentary evidence was provided to EPC Contractor;] all insurances necessary to perform the Works have been procured;  [the Project Company has signed the Project Agreements.] The Project Company has given the EPC Contractor right of access to and possession of the site to perform the Works.","The specific condition contradicts the checkpoint. According to 7. Notice to Proceed, ""The The Project Company shall issue the notice to proceed (NTP) to the EPC Contractor on or after the Scheduled Closing Date (as set out in the Project Implementation Schedule) upon satisfaction of conditions precedent,"" It does not have relevant agreement which specifically mention that the Financial Closing Date must occur before the Commencement Date, leaving room for ambiguity."
The Financial Closing Date shall have occurred before the Commencement Date,"7.2 Notice to Proceed
(a) Provided that all of the conditions precedent set forth in Exhibit A Annex 1 (Conditions Precedent to Full Notice to Proceed) are satisfied or waived (any waiver of any such condition precedent being at the Company’s sole discretion), the Company shall issue the Notice to Proceed.
(b) If the Company does not issue the Notice to Proceed within three (3) months of the date of issuance of the first Limited Notice to Proceed, it may issue another Limited Notice to Proceed, the scope of which shall be mutually agreed between the Parties and shall be considered part of the Works to be performed by the Contractor under the Contract. The terms set out in Clause 7.1 (Limited Notice to Proceed and LNTP Bond) shall apply, mutatis mutandis, to any such further Limited Notice to Proceed; provided that the issuance of such further Limited Notice to Proceed shall not entitle the Contractor to an extension of time or to an increase in the Contract Price.
(c) If the Company does not issue the Notice to Proceed within three (3) months of the first Limited Notice to Proceed and all of the conditions precedent set forth in Exhibit A Annex 1 (Conditions Precedent to Full Notice to Proceed) are satisfied except for the satisfaction or waiver of the conditions precedent to initial funding under the Financing Agreements, the Contractor shall be entitled to an adjustment to the Milestone Dates, the Guaranteed Commercial Operation Date and/or the Guaranteed Completion Date in accordance with Clause 16.1(d)(iv) (Variations); provided however, that the Contractor shall not be entitled to any additional payment or increase in the Contract Price.
(d) The Contractor shall commence the Works as soon as reasonably practicable following the issuance of the Notice to Proceed and in any event within seven (7) Days following the effective date of the Notice to Proceed, and shall thereafter proceed with the Works with due expedition and without delay.","The specific condition contradicts the checkpoint. According to 7.2 Notice to Proceed ""(a) Provided that all of the conditions precedent set forth in Exhibit A Annex 1 (Conditions Precedent to Full Notice to Proceed) are satisfied or waived (any waiver of any such condition precedent being at the Company’s sole discretion), the Company shall issue the Notice to Proceed"", which stipulates that the Company has the sole discretion to waive any conditions precedent including the occurrence of the Financial Closing Date before the Commencement Date. Thus, it can infer that the requirement that Financial Closing shall occur before the Commencement Date could be waived by the Company. As a result, it can not surely confirm that the Financial Closing Date will have occurred before the Commencement Date."
The Financial Closing Date shall have occurred before the Commencement Date,"4.1 Conditions Precedent
The Owner shall issue the NTP when the following conditions precedent have been fulfilled by the Owner, the Contractor or agreement to waive any of them (except the condition included in Section 4.1(b)(vii), which Owner may not waive) has been reached by the Parties in writing (“Conditions Precedent”):
(vi) true and complete copies of all consents and Governmental Authorizations which are required to have been obtained by the Contractor prior to NTP, certified by an authorized representative of the Contractor;
(vii) confirmation by the Owner as to the availability of funds substantially in the form of Annex 18 - Owner’s Financial Confirmation;
(viii) all consents and Governmental Authorizations which  are required to have been obtained by the Owner prior to NTP are in place;
(ix) copies of certificates of insurance evidencing to the satisfaction of the Contractor that the insurance policies and coverage to be taken out by the Owner prior to Commencement Date (if applicable) are in full force and effect;
(x) Owner has granted C Contractor full right of access as set forth in Section 3.1;
(xii) The Advanced Payment has been paid by Owner (except as otherwise provided in (h).","The specific condition contradicts the checkpoint. According to the 4.1 Conditions Precedent, ""The Owner shall issue the NTP when the following conditions precedent have been fulfilled by the Owner, the Contractor or agreement to waive any of them has been reached by the Parties in writing"". It does not specifically mention the necessity of the Financial Closing Date to occur before the Commencement Date, which leads to the possibility that the Financial Closing Date may not necessarily occur before the Commencement Date."
The Financial Closing Date shall have occurred before the Commencement Date,"4.1 Conditions Precedent
The Contract shall come into full force and effect on the Date of Signing, but the Contractor shall not be obliged to commence the Works until the Commencement Date has occurred. The Commencement Date shall be the date upon which the Contractor receives a Notice to Proceed (but, for the avoidance of doubt, not a Limited Notice to Proceed) from the Owner requiring it to proceed with the Works and confirming that each of the following conditions has been satisfied or, subject as provided below, waived by the Owner (in the case of articles (a), (c) and (e)) ,by the Contractor (in the case of article (b)) and by both Parties (in the case of article (d)).
(a) the Owner shall have fulfilled the following conditions:
(i) the Owner shall have paid Advance Payment to the Contractor;
(ii) the Financial Closing Date shall have occurred;
(iii) the Owner has provided to the Contractor physical and legal access to the Site; and
(b) the Contractor shall have fulfilled the following conditions:
(i) the Contractor has provided the Performance Bond detailed in Clause 7.2;
(ii) the Contractor has provided the Advance Payment Guarantee detailed in Clause 6.2;
(iii) the Contractor has provided the Parent Company Guarantee detailed in Clause 7.5;
(iv) the Contractor has obtained a validly issued ""Construction Operating Permit"" to implement the Contract;
(v) the Contractor has provided a Direct Agreement to the Lenders;
(vi) ; （move to paragraph d）
(vii) the Contractor has provided to the Owner a statement confirming that it has no existing claims for an extension of time, relief, adjustment to the Contract Price or additional payment arising prior to the Commencement Date which has not already been notified to Owner;
(viii) the Contractor has provided a legal opinion in form satisfactory to the Owner confirming, inter alia, (a) that the obligations of the Contractor contained in this Contract are valid and binding on the Contractor; and (b) the validity and enforceability of this Contract as against the Contractor;
(ix) the Contractor has procured that the Guarantor has provided a legal opinion in form satisfactory to the Owner confirming, inter alia, (a) that the obligations of the Guarantor contained in the Parent Company Guarantee are valid and binding on the Guarantor; and (b) the validity and enforceability of the Parent Company Guarantee as against the Guarantor;
(x) the Contractor has provided all appropriate “know your client” information, to the satisfaction of the Lenders, no later than six (6) weeks after the Date of Signing, and
(c) the Owner has provided to the Contractor, at the Owner’s discretion: (i) a letter confirming the Financing Agreements have been signed; or (ii) a parent company guarantee from a company in the Employer’s group, such guarantee and such company to be to the satisfaction of the Contractor (acting reasonably)
(d) each party has effected the insurances which it is required to effect by Clause 34 (Insurance) and each party has provided to the other party evidence of the same as required by Clause 34 (Insurance)
(e) All permits within Owner’s responsibility have been obtained.","The specific condition contradicts the checkpoint. According to the 4.1 Conditions Precedent, the Owner is capable to waive sub-clause (a) item (ii), which stipulates the Financial Closing Date shall occur before the Commencement Date. It is possible that the Owner could waive this provision, resulting in the possibility that the Financial Date may not be occurred prior to the Commencement Date."
The Financial Closing Date shall have occurred before the Commencement Date,"5.1 Notice to Proceed
The “Commencement Date” shall be the date stated in a written notice to the Contractor from the Employer, executed by its duly authorized representative, informing the Contractor to proceed with the Works and confirming that each of the following conditions precedent has been satisfied (or will be satisfied upon the date such written notice is given pursuant to this Contract Agreement) or, subject as provided below, waived by the Employer (the “Notice to Proceed”):
(i) the Employer has received from the Contractor:
(A) the Advance Payment Bond which shall by its terms be fully effective on or before the date of remittance by the Employer of the Advance Payment;
(B) the Performance Security for the Works which shall be dated or confirmed by the issuers thereof to be or to become effective on or before the date (or reasonably anticipated date as informed by the Employer) of the Notice to Proceed;
(C) a parent company guarantee (or guarantees in case of a consortium constituting the Contractor) and each other related document (i.e., certificate of a responsible officer and opinion of counsel) to be provided to the Employer in accordance with Sub-Clause 4.2.4 [Parent Company Guarantee] of the Particular Conditions which shall by its respective terms be fully effective at delivery;
(D) [any direct guarantee from a Subcontractor under a Major Subcontract identified in Sub-Clause 4.2.5 [Direct Subcontractor Undertakings] of the Particular Conditions];
(ii) the Financial Closing Date shall have occurred;
(iii) the Contractor has received from the Employer the Advance Payment;
(iv) the Employer has delivered and made available to the Contractor that part of the Site shown in the Site Handover Plan set out in Schedule E-3 [Site Handover Plan] to the Particular Conditions as being required to be delivered by it on or before the Commencement Date as a condition to the Notice to Proceed (the “NTP Site Delivery Area”), with access for the relevant tracts or land areas with such area consistent with the relevant conditions (including allowable ongoing relocation activities if any) stated in Schedule E-3 [Site Handover Plan] and the qualifications regarding Site conditions in such areas consistent with Sub-Clause 2.5 [Site Data and Items of Reference], Sub-Clause 4.10 [Use of Site Data], and Sub-Clause 5.1 [General Design Obligations], subject in all circumstances to the qualifications therein and to the conditions and qualifications of Schedule X [UXO Clearance Plan];","The specific condition contradicts the checkpoint. According to 5.1 Notice to Proceed, the sub-clause (ii) ""the Financial Closing Date shall have ocurred"" can be waived by the Employer solely, which the sub-clause (ii) illustrated that the Financial Closing shall have occurred before the Commencement Date. As the Employer has the opportunity to waive this sub-clause, therefore it is not clear whether the Financial Closing will occur before the Commencement Date."
The conditions precedent should only be waived by mutual agreement between the Project Company and the Contractor.,"66. Notice to Proceed (NTP) & NTP Longstop Date
The Company shall issue a NTP if the Conditions Precedent defined in clause 70 are met or waived (as the case may be). Such notice shall instruct the Contractor to commence the Works within a defined period of time (“Commencement Date”).
68. Conditions Precedent to issuance of the NTP
At any time after the Effective Date, a Notice to Proceed may be issued by the Company from the date on which the last of all of the following conditions precedent have been satisfied or waived in writing by the Party to whom performance is due:
a) the Contractor has obtained all Contractor Permits required to be obtained by the Contractor under this Agreement;
b) the Contractor has delivered to the Company an Advance Payment Bond, a Performance Bond as per the forms set out inSchedule 9 attached to EPC Agreement;
c) the Contractor has provided to the Company the relevant insurance required under Schedule 12.2 (Insurance Requirements for the Contractor) attached to EPC Agreement;
d) the Contractor has delivered to the Company the invoice for the Advance Payment Amount, and the full amount of Advance Payment has been received by the Contractor;
e) the Contractor has provided to the Company a legal opinion on the capacity of the Contractor to enter into this Agreement;
f) the Company has the necessary Real Property Rights to enable the Contractor to access the Site from the Commencement Date;
g) the Company has provided to the Contractor the relevant insurance certificates required under Schedule 12.1 (Insurance Requirements for the Company);
h) the Company has obtained all Company Permits which are necessary for the Contractor to perform the Work;
i) the Company confirms that it has reached financial close and provide the financing proof to the Contractor (other than the requirement that this Agreement has become unconditional in accordance with its terms);
j) the Company, the Contractor and the Financing Parties have entered into the Direct Agreement
k) the O&M Contract has been executed
The Notice to Proceed shall specify the Commencement Date.
The Parties shall use their respective reasonable endeavours to ensure the satisfaction of the Conditions Precedent required for the Notice to Proceed to be issued by no later than the NTP Longstop Date.
For the avoidance of doubt, nothing in this Agreement shall be construed as obliging the Company to deliver the Notice to Proceed.","The specific condition contradicts the checkpoint. according to the clause ""66. Notice to Proceed (NTP) & NTP Longstop Date"" and ""68. Conditions Precedent to issuance of the NTP"", it only stated that ""The Company shall issue a NTP if the Conditions Precedent defined in clause 70 are met or waived (as the case may be)"" and ""all of the following conditions precedent have been satisfied or waived in writing by the Party"", respectively. Neither clause specifies that conditions precedent can only be waived through mutual agreement between the Owner and the Contractor."
The conditions precedent should only be waived by mutual agreement between the Project Company and the Contractor.,"1.General Provisions
Commencement Date means the date on which the Contractor receives the Notice to Proceed from the Project Company instructing it to commence performance of the Works and confirming that all conditions set out in Schedule 4 (Conditions Precedent to Notice to Proceed) have been satisfied or (if applicable) waived by the Project Company.
Schedule 1
Conditions Precedent to Notice to Proceed
It shall be a condition precedent to the issuance of the Notice to Proceed that each of the following has occurred, unless any such condition precedent is waived in writing by Project Company (in its sole discretion, provided that Project Company shall not be permitted to waive the condition precedent in paragraph 1.1  below without the Contractor’s prior consent)","The specific condition contradicts the checkpoint. The specific condition stated that ""all conditions set out in Schedule 4 (Conditions Precedent to Notice to Proceed) have been satisfied or (if applicable) waived by the Project Company"". However, the Conditions Precedent should not be waived by the Project Company acting in its sole discretionI. Instead, it should be decided by the Parties, i.e. the Project company and the Contractor."
The conditions precedent should only be waived by mutual agreement between the Project Company and the Contractor.,"8.1Commencement of Works
The Employer may issue the Notice to Proceed at any time and the Order Date shall occur on the date on which the last of the following conditions has been fulfilled (or waived or deferred (with or without conditions) by the Employer in the case of sub-clauses (a) and (b) below, or waived or deferred (with or without conditions) by the Supplier in case of sub-clauses (c) and (d) below) as notified by the Employer:
(a) Financial Closing (as defined in the Implementation Agreement) has occurred in terms of the Implementation Agreement, (as may be confirmed by a letter issued by the relevant authority) and as confirmed by the Employer to the Supplier; 
(b) the Performance Bond and the Advance Payment Guarantee have been provided by the Supplier in accordance with Clause 4.3(b) and are in full force and effect;
(c) the Advance Payment has been received by the Supplier in accordance with Clause 11.2(b); and
(d) the insurance policies that are required to be obtained by the Employer under Schedule 7 (Insurance), have been procured and are effective.
Notwithstanding the above, each party shall use its best efforts to fulfil the above conditions for which it is responsible as soon as practicable. If the conditions detailed in this Sub-Clause are not fulfilled within six (6) months from the date of signing of the Contract, both Parties shall renegotiate and reach a new agreement on the Contract Price and the Guaranteed Delivery Date. and/or other relevant conditions. Failure by the Parties to reach an agreement as aforesaid, then either Party may terminate this Contract by giving a fifteen (15) days’ notice to the other Party, in which event, the Employer shall return to the Supplier the securities the latter provided to it (if any), pursuant to which the Parties shall be released from their respective responsibilities and obligations to the other Party under the Contract. 
The Contract shall become invalid before the Commencement Date only if (i) the conditions as mentioned in sub-clause 7.1 (a) above are not fulfilled; and (ii) due to prolonged delay of commencement date, a new agreement on the Contract Price and the Guaranteed Delivery Date and/or other relevant conditions have not been agreed between Parties during a specified time; and (iii) a written termination agreement, introduced by either Party, has been signed by both Parties.","The specific condition contradicts the checkpoint. According to 8.1 Commencement of Works ""the Employer may issue the Notice to Proceed at any time and the Order Date shall occur on the date on which the last of the following conditions has been fulfilled (or waived or deferred (with or without conditions) by the Employer in the case of sub-clauses (a) and (b) below, or waived or deferred (with or without conditions) by the Supplier in case of sub-clauses (c) and (d) below) as notified by the Employer."" Financial closing as a condition precedent should not be waived or deferred by the Employer. However, according to the clause the Employer have the unilateral power to waive or defer certain conditions precedent."
The conditions precedent should only be waived by mutual agreement between the Project Company and the Contractor.,"1.1.14“Commencement Date” means the date on which the conditions below have been satisfied or waived in accordance with the following sentence. The below conditions (iv) and (v) may be waived by the Employer and the below conditions (vi) may be waived by the Contractor: 
(i) Financial Close;
(ii) the Contractor has received the down-payment from the Employer in the amount of 5% of the Contract Price as established as payment no,1 in Schedule 4;
(iii) not used; 
(iv) the Employer has given right of access to and possession of, all the Site to the Contractor in accordance with Sub-Clause 2.1; 
(v) the Employer has delivered the Principal Project Agreement to the Contractor in accordance 1.13.1; and
(vi) the Contractor has submitted the Performance Security to the Employer in accordance with Sub-Clause 4.2.","The specific condition contradicts the checkpoint. According to the clauses (iv), (v), which can be waived by the Employer alone, and (vi), which can be waived by the contractor alone, it is unclear why it stipulates that the requirement of Financial Close could be waived by the Employer under the condition that Contractor has received payment of the milestone defined as payment no. 2 in Schedule 4 (as down-payment, i.e. regardless of the conditions established for milestone no. 2). This should be clarified by the Employer."
