clause_type,clause
5.1Effective Date,"“Effective Date” means the date upon which the EPC Contractor receives a notice from the Owner requiring the EPC Contractor to proceed with the Works (the “Full Notice to Proceed”). The Full Notice to Proceed shall not be issued until each of the following conditions precedent has been satisfied, or waived by the Owner (in the case of articles 5.1(a), 5.1(b) and 5.1(e) of this Agreement), by the EPC Contractor (in the case of articles 5.1(c) and 5.1(f) of this Agreement) and by both Parties (in the case of articles 5.1(d) and 5.1(g) of this Agreement): (a) the Owner has received a certificate in respect of each of the following entities signed by a duly authorised officer of such entity: (i) [each entity], acting as the EPC Contractor; and (ii) [[each entity], acting as the provider of the Parent Guarantee,] attaching the following documents: (A) a true copy of the entity's constitutional documents (including English translations); (B) a true copy of the resolution of the applicable board of directors (including English translations); (aa) approving the terms of, and the transactions contemplated by, respectively the Contract, the Direct Agreement and the Parent Guarantee as applicable and resolving that it execute such documents; (bb) authorising a specified person or persons to execute the documents on its behalf; and (cc) authorising a specified person or persons, on its behalf, to sign and/or despatch all documents and notices to be signed and/or despatched by it under or in connection with such documents; (C) a specimen signature of each person authorised by the resolutions referred to in paragraph (B) above; and (D) a copy of the most recent, publicly available, audited financial statements of each of the entities referred to above (including English translations); (b) the Owner has received from the EPC Contractor: (i) a duly executed and delivered Direct Agreement; (ii) a duly executed and delivered Advance Payment Bond; (iii) a duly executed and delivered Performance Bond; (iv) a duly executed and delivered Parent Guarantee; (v) a duly signed legal opinion in the form referred to in clause 21.5 (Legal Opinion) of the Conditions of Contract; and (vi) any documents as may be required to be provided by the EPC Contractor as set out in paragraph of appendix I (Documents to be delivered). (c) all necessary access rights to the Site and the Easement Areas (including rights of access pursuant to clause 5.2 (Possession of and access to the Site and Easement Areas)) of the Conditions of Contract have been acquired by the Owner; (d) the relevant Party has procured the insurances referred to in clause 33 (Insurance) of the Conditions of Contract to the extent required to be in effect at the Effective Date in accordance with the provisions of clause 33 (Insurance) of the Conditions of Contract; (e) the Owner has received (i) written confirmation from the EPC Contractor that the EPC Contractor has complied with its obligations under clause 4.4 (Permits, approvals and licences) of the Conditions of Contract to the extent that any permits, approvals and/or licences therein referred to which are required to be in place prior to the Effective Date have been obtained and (ii) copies of all such Approvals; (f) the EPC Contractor has received written confirmation from the Owner that such of the permits, approvals and/or licences as are required as a pre-condition to the commencement of the Works and required to be in the Owner's name have been obtained (including those set out in appendix F (Approvals)); (g) the EPC Contractor providing to the Owner a statement that there are no existing claims for an extension of time relief or additional costs arising prior to the Effective Date other than those raised in accordance with the LNTP Agreement(s); and (h) the Owner has received from the EPC Contractor the draft Health, Safety and Environmental Management Plan at least thirty (30) Days prior to Financial Closing, and approved the project specific Health, Safety and Environmental Management Plan, prepared in accordance with the requirements of appendix X (Health, Safety and Environmental Management Plan), (i) the Owner has received from the EPC Contractor the draft HR Policy and Plan, draft Supply Chain Management Plan and supply chain map, prepared in accordance with the requirements of the Contract, at least thirty (30) Days prior to Financial Closing; (j) the Owner has received from the EPC Contractor a copy of the report related to the Site Conditions Survey; and (k) the EPC Contractor has received written confirmation from the Owner that either (i) all conditions precedent to the Financial Closing (except issuance of the Full Notice to Proceed) have been achieved or (ii) that the Owner has capacity to advance its own funds to finance part of the Works pending the achievement of the Financial Closing. (l) the Owner providing to the EPC Contractor a statement that there are no existing claims for an extension of time relief or additional costs arising prior to the Effective Date other than those raised in accordance with the LNTP Agreement(s) provided that the Owner shall not be required to issue the Full Notice to Proceed prior to the date of Financial Closing (as such term is defined in the Contract)."
5.2Conditions Precedent to the Effective Date,"Each Party shall use its reasonable endeavours to ensure the satisfaction of the conditions precedent specified in article 5.1 of this Agreement for which it is responsible not later than [].  The Owner may by written notice terminate the Contract if the EPC Contractor fails to satisfy any of the conditions precedent in articles 5.1(a), 5.1(b), 5.1(d), 5.1(e) or 5.1(g) of this Agreement on or prior to [].  If the Contract terminates for this reason, the EPC Contractor shall, within seven (7) Days of a written demand from the Owner, pay to the Owner amounts equivalent to the amounts which the Purchaser has called under any performance security provided by or on behalf of the Owner to the Purchaser pursuant to the PPA."
5.3Notice of satisfaction of a Condition Precedent,"Each Party shall promptly upon the satisfaction (or waiver by the Party or Parties for whose benefit the condition exists) of a condition precedent, give the other Party written notice that such condition precedent has been so satisfied (or waived)."
5.4Rights and obligations of the Parties prior to the Effective Date,"The respective rights and obligations of the Parties (other than those contained in clauses 1 (Definitions), 2 (Contract Documents), 5 (Conditions Precedent), 6 (EPC Contractor to Provide Assistance), 7 (Successors) and 8 (Governing Law) of this Agreement, and clauses 1 (Definitions and interpretation), 30 (Confidential information), 42 (Notices), 43 (Governing Language and Law), 44 (Dispute resolution procedure) and 46 (Limitation of liability) of the Conditions of Contract, which shall enter into full force and effect at the date of this Agreement) shall enter into full force and effect on the Effective Date."
5.5Delay in occurrence of Effective Date,"If (other than due to the EPC Contractor's default) the Full Notice to Proceed has not been issued by [] (or such later date as may be agreed between the Parties), the Parties shall:
(a)discuss and seek to agree on an equitable adjustment to the Contract Price and the Guaranteed Completion Dates; or
either the Owner or the EPC Contractor may, by seven (7) Days' notice in writing to the other, terminate the Contract."
5.6Termination prior to the Effective Date,"If the Contract is terminated prior to issuance of the Full Notice to Proceed other than by reason of the EPC Contractor's default (including failure by the EPC Contractor to satisfy the conditions precedent under article 5.1), neither Party shall have any liability to the other of any nature."
2.1Turnkey basis,The EPC Contractor is responsible on a full turnkey basis for the provision of all Materials and Equipment and the performance of all works and services required for carrying out and completion of the Works in accordance with the Contract including making good any Defects.
"2.2Additional work, materials and services","The EPC Contractor shall perform all such work and supply all such materials and provide such services not specifically mentioned in the Contract but which can be reasonably inferred from the Contract as being required for the proper execution of the Works and performance of each Phase and the Power Plant as if such work, materials and services were expressly mentioned in the Contract."
4.2Design,"The EPC Contractor shall design the Power Plant to have a design life of not less than twenty-five (25) years (design life meaning the life of the Works as designed and if operated in accordance with the operating procedures and practices provided by the EPC Contractor to the Owner) from the Project Taking Over Date. All plans and drawings shall use international standards of measurement.
Except as otherwise provided in this PPA, the Government Support Agreement, the Land Lease Agreement, and the PPA Direct Agreement, the EPC Contractor shall not after the Effective Date make, without the Owner’s prior written consent, any change, modification or addition to the scope or specifications (including performance standards) of the design criteria or basic design of the Power Plant or Evacuation Infrastructure that can reasonably be predicted to have a Material Adverse Effect on the quality, reliability, timing, or any other characteristic of deliveries to the Purchaser of Energy, the Owner’s ability to make available electrical energy up to the Contracted Capacity, the performance of the Power Plant or the ability of the Owner to perform its obligations under the PPA."
4.3Conditions affecting the Works,"(a)The EPC Contractor warrants that, prior to entering into the Contract, it has fully satisfied itself as to all local, national, regional, Site and Easement Areas conditions that could affect the Works, including:
(i)the nature and location of the Site and its surroundings and the surface and above surface conditions of the Site and its surroundings (including climatic, hydrological, seismic, atmospheric (including lightning strikes, dust storms), meteorological, topographical, transportation, access (including the size, condition and suitability of access roads), communications (including electromagnetic interference), waste disposal and the presence above ground of any physical or artificial obstruction;
(ii)weather conditions affecting any part of the EPC Contractor's activities including the transportation of Construction Equipment, Materials and Equipment, Consumables, Spare Parts and personnel to the Site;
(iii)the presence at the Site (above and below ground) of any substance that is a pollutant or contaminant, is harmful or hazardous to human, animal or plant life or to any water body or system or to the environment generally, or that is required by any applicable Laws or Government Authorisations to be removed, treated or contained;
(iv)complying with any rights, easements, reservations, stipulations and other matters affecting the Site or the Easement Areas;
(v)the adequacy (including load capacity) and availability of access roads and all means of transportation and access to the Site from the location of manufacture and/or supply of Construction Equipment, Materials and Equipment, Consumables, Spare Parts and personnel;
(vi)the availability of, procuring, and the use of, all Construction Equipment, Materials and Equipment, personnel, consumables, power, water, telecommunications, sewage, waste disposal services and any other utilities/services for the performance of the Works (including coordinating with providers of consumables, power, water, telecommunications, waste disposal services and any other utilities/services);
(vii)complying with all applicable Laws of Uzbekistan during the performance of the Works;
(viii)obtaining and maintaining all Approvals, which the EPC Contractor is responsible for under the Contract;
(ix)local customs and practices, including the customs and practices of the local labour forces, subcontractors and of any Governmental Authority;
(x)crime, including theft and vandalism; 
(xi)in transporting any Materials and Equipment, Imported Materials and Equipment or Construction Equipment (including WTG erection equipment) across the Site, the Contractor shall use as crane paths only those paths along the routes shown in an Exhibit to the Contract; provided that the Contractor shall be responsible for ensuring that such paths are appropriate for the safe transportation of such Materials and Equipment, Imported Materials and Equipment or Construction Equipment (including WTG erection equipment) and shall perform all work necessary to ensure the same;
(xii)coordinating the performance of all portions of the Works by Subcontractors;
(xiii)environmental and social risks and impacts set out in the CESMP (including the plans set out in appendix Z (Specific E&S Management Plans)), the ESAP and ESIA for matters within the scope of the Contractor;
(xiv)all Taxes; and
(xv)the characteristics and behaviour of any sea, ocean, lake, river, canal and the beds there; 
(xvi)generally, any other local conditions and/or other conditions of or affecting the Site, [EI Site] and the Easement Areas and other risks, conditions and circumstances that affect or may affect the execution of the Works and/or performance of the EPC Contractor's obligations under the Contract.
(b)The EPC Contractor warrants that it is not relying on any statement of the Owner, its contractors or its shareholders, directors, officers, employees, agents or representatives (whether written or oral) with respect to such size, shape, design, location, condition or fitness for purpose of the Site or the Site data.
(c)Save for any express relief provided for in the Contract, the EPC Contractor shall not be entitled to make any claim whatsoever, or requests for variations, for price adjustment(s) and/or time extension(s) based on its failure sufficiently to have satisfied itself as to the abovementioned matters or on its reliance on any unwarranted information and data supplied by the Owner, or on any misunderstanding or incorrect information howsoever obtained."
